date,adj_close,close,high,low,open,volume
,VOO,VOO,VOO,VOO,VOO,VOO
2021-02-01,321.8445739746094,345.7699890136719,346.8500061035156,341.3999938964844,343.6300048828125,3334000
2021-02-02,326.4707336425781,350.739990234375,352.3399963378906,349.0,349.04998779296875,2955200
2021-02-03,326.7965087890625,351.0899963378906,352.79998779296875,349.8800048828125,351.70001220703125,3392800
2021-02-04,330.4544982910156,355.0199890136719,355.0400085449219,351.9200134277344,352.1199951171875,1988300
2021-02-05,331.77618408203125,356.44000244140625,357.1300048828125,355.32000732421875,356.8999938964844,2091800
2021-02-08,334.22430419921875,359.07000732421875,359.07000732421875,357.05999755859375,357.9200134277344,3371100
2021-02-09,333.954345703125,358.7799987792969,359.3299865722656,357.7699890136719,358.2200012207031,1891200
2021-02-10,333.82403564453125,358.6400146484375,360.6099853515625,356.29998779296875,360.5299987792969,2400000
2021-02-11,334.36395263671875,359.2200012207031,360.1000061035156,356.8399963378906,359.7099914550781,2237200
2021-02-12,336.0672302246094,361.04998779296875,361.19000244140625,358.3599853515625,358.45001220703125,2144500
2021-02-16,335.750732421875,360.7099914550781,362.3699951171875,359.9800109863281,362.1499938964844,4408500
2021-02-17,335.8251953125,360.7900085449219,360.9700012207031,357.9200134277344,359.0299987792969,3211800
2021-02-18,334.3917541503906,359.25,359.92999267578125,356.489990234375,358.239990234375,3010500
2021-02-19,333.7774658203125,358.5899963378906,360.7099914550781,358.1400146484375,360.4700012207031,2487100
2021-02-22,331.1526184082031,355.7699890136719,358.19000244140625,355.55999755859375,355.8399963378906,3291000
2021-02-23,331.57147216796875,356.2200012207031,357.55999755859375,349.5299987792969,353.69000244140625,5251100
2021-02-24,335.2388610839844,360.1600036621094,360.5799865722656,354.20001220703125,355.1499938964844,3301200
2021-02-25,327.1966857910156,351.5199890136719,360.2699890136719,350.0799865722656,359.0299987792969,7049200
2021-02-26,325.4002380371094,349.5899963378906,354.4700012207031,347.7099914550781,353.4700012207031,7579500
2021-03-01,333.33990478515625,358.1199951171875,359.3900146484375,354.5,354.54998779296875,3721100
2021-03-02,330.7616882324219,355.3500061035156,358.6300048828125,355.1600036621094,358.3800048828125,5462600
2021-03-03,326.3961486816406,350.6600036621094,355.6400146484375,350.55999755859375,354.70001220703125,6317600
2021-03-04,322.37506103515625,346.3399963378906,353.0199890136719,341.9200134277344,350.489990234375,6604500
2021-03-05,328.2857666015625,352.69000244140625,353.7300109863281,342.5899963378906,349.7699890136719,8721300
2021-03-08,326.67547607421875,350.9599914550781,356.3999938964844,350.6600036621094,353.6300048828125,5663500
2021-03-09,331.2457275390625,355.8699951171875,358.4599914550781,354.2300109863281,354.75,6075100
2021-03-10,333.29345703125,358.07000732421875,359.8399963378906,356.8800048828125,358.29998779296875,7231400
2021-03-11,336.8119812011719,361.8500061035156,363.760009765625,360.1600036621094,360.6600036621094,3340700
2021-03-12,337.28662109375,362.3599853515625,362.45001220703125,359.6700134277344,360.5,4847300
2021-03-15,339.2413330078125,364.4599914550781,364.75,360.45001220703125,362.6700134277344,3154800
2021-03-16,338.85968017578125,364.04998779296875,365.7799987792969,363.25,365.1199951171875,3698400
2021-03-17,339.9672546386719,365.239990234375,366.04998779296875,361.6199951171875,362.8299865722656,5011600
2021-03-18,334.9689025878906,359.8699951171875,364.760009765625,359.2799987792969,362.7300109863281,5067500
2021-03-19,334.3731689453125,359.2300109863281,361.1700134277344,357.1400146484375,359.6499938964844,5382800
2021-03-22,337.0166320800781,362.07000732421875,363.5,359.760009765625,359.7900085449219,3417600
2021-03-23,334.540771484375,359.4100036621094,362.94000244140625,358.510009765625,361.5299987792969,4954600
2021-03-24,332.68841552734375,357.4200134277344,362.2699890136719,357.4200134277344,360.7099914550781,4099000
2021-03-25,334.5593566894531,359.42999267578125,360.239990234375,354.1400146484375,356.0799865722656,5487300
2021-03-26,340.0172119140625,364.010009765625,364.3699951171875,358.75,359.3699951171875,3322600
2021-03-29,339.8116760253906,363.7900085449219,364.67999267578125,361.1099853515625,362.57000732421875,3143300
2021-03-30,338.9429626464844,362.8599853515625,363.4700012207031,361.2699890136719,362.55999755859375,3696200
2021-03-31,340.2881164550781,364.29998779296875,365.82000732421875,363.3900146484375,363.3900146484375,7470300
2021-04-01,343.8937072753906,368.1600036621094,368.2900085449219,366.0299987792969,366.20001220703125,5132000
2021-04-05,348.8537292480469,373.4700012207031,374.07000732421875,370.80999755859375,370.8900146484375,3764100
2021-04-06,348.657470703125,373.260009765625,374.3299865722656,372.6700134277344,373.0400085449219,3583500
2021-04-07,349.0965270996094,373.7300109863281,374.0799865722656,372.7200012207031,373.1400146484375,2768900
2021-04-08,350.7966003417969,375.54998779296875,375.55999755859375,374.05999755859375,374.9700012207031,3949400
2021-04-09,353.318603515625,378.25,378.3999938964844,375.3299865722656,375.4200134277344,2627500
2021-04-12,353.4773864746094,378.4200134277344,378.6499938964844,377.0799865722656,377.70001220703125,2747500
2021-04-13,354.43951416015625,379.45001220703125,380.1199951171875,377.9200134277344,378.3699951171875,2985500
2021-04-14,353.29986572265625,378.2300109863281,380.510009765625,377.70001220703125,379.4599914550781,3691100
2021-04-15,357.0923156738281,382.2900085449219,382.5400085449219,380.2799987792969,380.3299865722656,3573800
2021-04-16,358.34405517578125,383.6300048828125,384.1499938964844,382.19000244140625,383.55999755859375,3252500
2021-04-19,356.5784912109375,381.739990234375,383.0899963378906,380.3699951171875,382.6199951171875,3945700
2021-04-20,353.963134765625,378.94000244140625,381.1600036621094,377.4700012207031,380.489990234375,4106700
2021-04-21,357.2884521484375,382.5,382.6700134277344,378.1400146484375,378.2799987792969,3640100
2021-04-22,354.0098876953125,378.989990234375,383.1199951171875,377.9599914550781,382.32000732421875,3965000
2021-04-23,357.7835693359375,383.0299987792969,384.4599914550781,379.4599914550781,379.57000732421875,3781100
2021-04-26,358.5588684082031,383.8599853515625,384.45001220703125,383.32000732421875,383.7300109863281,3125200
2021-04-27,358.44677734375,383.739990234375,384.3800048828125,382.7200012207031,384.20001220703125,3370600
2021-04-28,358.2785949707031,383.55999755859375,385.1700134277344,383.239990234375,384.1000061035156,3960400
2021-04-29,360.66986083984375,386.1199951171875,386.739990234375,382.80999755859375,386.3999938964844,4209900
2021-04-30,358.2879638671875,383.57000732421875,384.760009765625,382.7300109863281,383.9100036621094,5219200
2021-05-03,359.1006164550781,384.44000244140625,385.94000244140625,383.9599914550781,385.55999755859375,4180800
2021-05-04,356.91485595703125,382.1000061035156,382.9599914550781,378.45001220703125,382.5199890136719,5485600
