date,adj_close,close,high,low,open,volume
,SPY,SPY,SPY,SPY,SPY,SPY
2021-02-01,351.2018127441406,376.2300109863281,377.3399963378906,370.3800048828125,373.7200012207031,75817600
2021-02-02,356.1678771972656,381.54998779296875,383.2200012207031,376.32000732421875,379.6499938964844,64450700
2021-02-03,356.44793701171875,381.8500061035156,383.70001220703125,380.4800109863281,382.44000244140625,52427100
2021-02-04,360.49920654296875,386.19000244140625,386.239990234375,381.9700012207031,382.9599914550781,47142600
2021-02-05,361.91815185546875,387.7099914550781,388.4700012207031,386.1400146484375,388.20001220703125,48669800
2021-02-08,364.5318603515625,390.510009765625,390.55999755859375,388.3500061035156,389.2699890136719,38365200
2021-02-09,364.2891540527344,390.25,390.8900146484375,389.1700134277344,389.6099853515625,35551100
2021-02-10,364.1304016113281,390.0799865722656,392.2799987792969,387.5,392.1199951171875,59154400
2021-02-11,364.7185363769531,390.7099914550781,391.69000244140625,388.1000061035156,391.239990234375,42913300
2021-02-12,366.52020263671875,392.6400146484375,392.8999938964844,389.7699890136719,389.8500061035156,50593300
2021-02-16,366.2027893066406,392.29998779296875,394.1700134277344,391.5299987792969,393.9599914550781,50972400
2021-02-17,366.2867431640625,392.3900146484375,392.6600036621094,389.3299865722656,390.4200134277344,52290600
2021-02-18,364.7279052734375,390.7200012207031,391.5199890136719,387.739990234375,389.5899963378906,59712800
2021-02-19,364.0837707519531,390.0299987792969,392.3800048828125,389.54998779296875,392.07000732421875,83241000
2021-02-22,361.2833557128906,387.0299987792969,389.6199951171875,386.739990234375,387.05999755859375,67414200
2021-02-23,361.72210693359375,387.5,388.95001220703125,380.20001220703125,384.6600036621094,107284100
2021-02-24,365.7080383300781,391.7699890136719,392.2300109863281,385.2699890136719,386.3299865722656,72433900
2021-02-25,356.8959655761719,382.3299865722656,391.8800048828125,380.7799987792969,390.4100036621094,146670500
2021-02-26,355.05706787109375,380.3599853515625,385.5799865722656,378.2300109863281,384.3500061035156,152701600
2021-03-01,363.6637268066406,389.5799865722656,390.9200134277344,380.57000732421875,385.5899963378906,105348800
2021-03-02,360.8260192871094,386.5400085449219,390.07000732421875,386.0,389.82000732421875,79595300
2021-03-03,356.0465087890625,381.4200134277344,386.8299865722656,381.30999755859375,385.7900085449219,119940200
2021-03-04,351.64056396484375,376.70001220703125,384.0,371.8800048828125,381.2200012207031,183433000
2021-03-05,358.1095886230469,383.6300048828125,384.760009765625,372.6400146484375,380.4599914550781,152039600
2021-03-08,356.3266296386719,381.7200012207031,387.67999267578125,381.4200134277344,384.6600036621094,123149200
2021-03-09,361.4140625,387.1700134277344,389.9100036621094,385.30999755859375,385.8500061035156,113633600
2021-03-10,363.6637268066406,389.5799865722656,391.3999938964844,388.1700134277344,389.69000244140625,109899400
2021-03-11,367.3509521484375,393.5299987792969,395.6499938964844,391.739990234375,392.2300109863281,86245000
2021-03-12,367.8456726074219,394.05999755859375,394.2099914550781,391.20001220703125,392.07000732421875,64653600
2021-03-15,370.039306640625,396.4100036621094,396.69000244140625,392.0299987792969,394.3299865722656,73427200
2021-03-16,369.5726623535156,395.9100036621094,397.8299865722656,395.0799865722656,397.07000732421875,73722500
2021-03-17,370.83282470703125,397.260009765625,398.1199951171875,393.29998779296875,394.5299987792969,97959300
2021-03-18,365.4373474121094,391.4800109863281,396.7200012207031,390.75,394.4800109863281,115349100
2021-03-19,364.76116943359375,389.4800109863281,391.57000732421875,387.1499938964844,389.8800048828125,113624500
2021-03-22,367.6737976074219,392.5899963378906,394.07000732421875,389.9700012207031,390.0299987792969,73778600
2021-03-23,364.7798767089844,389.5,393.4599914550781,388.6600036621094,391.9100036621094,90686600
2021-03-24,362.9255676269531,387.5199890136719,392.75,387.4700012207031,391.0,97588600
2021-03-25,364.9672546386719,389.70001220703125,390.54998779296875,383.8999938964844,385.9800109863281,116128600
2021-03-26,370.8486328125,395.9800109863281,396.4100036621094,390.2900085449219,390.92999267578125,114409100
2021-03-29,370.6613464355469,395.7799987792969,396.75,392.80999755859375,394.3999938964844,108107600
2021-03-30,369.677978515625,394.7300109863281,395.45001220703125,393.0199890136719,394.4200134277344,76262200
2021-03-31,371.1763916015625,396.3299865722656,398.0,395.30999755859375,395.3399963378906,112734200
2021-04-01,375.18475341796875,400.6099853515625,400.6700134277344,398.17999267578125,398.3999938964844,99682900
2021-04-05,380.5698547363281,406.3599853515625,406.94000244140625,403.3800048828125,403.4599914550781,91684800
2021-04-06,380.3450927734375,406.1199951171875,407.239990234375,405.3999938964844,405.760009765625,62021000
2021-04-07,380.7852478027344,406.5899963378906,406.9599914550781,405.45001220703125,405.94000244140625,55836300
2021-04-08,382.5927429199219,408.5199890136719,408.5799865722656,406.92999267578125,407.92999267578125,57863100
2021-04-09,385.374267578125,411.489990234375,411.6700134277344,408.260009765625,408.3900146484375,61104600
2021-04-12,385.51470947265625,411.6400146484375,411.92999267578125,410.20001220703125,410.8500061035156,56704900
2021-04-13,386.6573181152344,412.8599853515625,413.5299987792969,411.1199951171875,411.5299987792969,56551000
2021-04-14,385.3367919921875,411.45001220703125,413.9599914550781,410.8699951171875,412.8299865722656,61659900
2021-04-15,389.4762878417969,415.8699951171875,416.1600036621094,413.69000244140625,413.739990234375,60229800
2021-04-16,390.77801513671875,417.260009765625,417.9100036621094,415.7300109863281,417.25,82037300
2021-04-19,388.858154296875,415.2099914550781,416.739990234375,413.7900085449219,416.260009765625,78498500
2021-04-20,386.0111083984375,412.1700134277344,415.0899963378906,410.5899963378906,413.9100036621094,81851800
2021-04-21,389.66357421875,416.07000732421875,416.2900085449219,411.3599853515625,411.510009765625,66793000
2021-04-22,386.1047668457031,412.2699890136719,416.7799987792969,411.1300048828125,415.8900146484375,97582800
2021-04-23,390.291015625,416.739990234375,418.25,412.7900085449219,412.8699951171875,73209200
2021-04-26,391.1058349609375,417.6099853515625,418.2200012207031,416.80999755859375,417.44000244140625,52182400
2021-04-27,391.0215148925781,417.5199890136719,418.1400146484375,416.29998779296875,417.92999267578125,51303100
2021-04-28,390.90911865234375,417.3999938964844,419.010009765625,416.8999938964844,417.80999755859375,51238900
2021-04-29,393.4002685546875,420.05999755859375,420.7200012207031,416.44000244140625,420.32000732421875,78544300
2021-04-30,390.8155517578125,417.29998779296875,418.5400085449219,416.3399963378906,417.6300048828125,85527000
2021-05-03,391.658447265625,418.20001220703125,419.8399963378906,417.6700134277344,419.42999267578125,68128300
2021-05-04,389.2420959472656,415.6199951171875,416.6000061035156,411.6700134277344,416.07000732421875,101591200
2021-05-05,389.3638916015625,415.75,417.6300048828125,415.1499938964844,417.3800048828125,60162200
2021-05-06,392.4732666015625,419.07000732421875,419.2099914550781,413.67999267578125,415.8299865722656,74321400
2021-05-07,395.3296203613281,422.1199951171875,422.82000732421875,419.1600036621094,419.8900146484375,67733800
2021-05-10,391.41485595703125,417.94000244140625,422.739990234375,417.80999755859375,422.5,81852400
2021-05-11,387.921630859375,414.2099914550781,415.2699890136719,410.05999755859375,413.1000061035156,116888000
2021-05-12,379.6801452636719,405.4100036621094,412.5899963378906,404.0,411.2300109863281,134811000
2021-05-13,384.240966796875,410.2799987792969,412.3500061035156,407.0199890136719,407.07000732421875,106394000
2021-05-14,390.1412048339844,416.5799865722656,417.489990234375,413.17999267578125,413.2099914550781,82201600
2021-05-17,389.1484680175781,415.5199890136719,416.3900146484375,413.3599853515625,415.3900146484375,65129200
2021-05-18,385.795654296875,411.94000244140625,416.05999755859375,411.7699890136719,415.79998779296875,59810200
