date,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Adj_Close_AAPL,Volume_AAPL,Open_AMZN,High_AMZN,Low_AMZN,Close_AMZN,Adj_Close_AMZN,Volume_AMZN,Open_MSFT,High_MSFT,Low_MSFT,Close_MSFT,Adj_Close_MSFT,Volume_MSFT,Open_VOO,High_VOO,Low_VOO,Close_VOO,Adj_Close_VOO,Volume_VOO,Open_SPY,High_SPY,Low_SPY,Close_SPY,Adj_Close_SPY,Volume_SPY
2021-02-01,133.75,135.3800048828125,130.92999267578125,134.13999938964844,130.57891845703125,106239800,162.1179962158203,167.51300048828125,161.75149536132812,167.1439971923828,167.1439971923828,83204000,235.05999755859375,242.5,232.42999267578125,239.64999389648438,229.95367431640625,33314200,343.6300048828125,346.8500061035156,341.3999938964844,345.7699890136719,321.8445739746094,3334000,373.7200012207031,377.3399963378906,370.3800048828125,376.2300109863281,351.2018127441406,75817600
2021-02-02,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,131.4063262939453,83305400,169.0,171.38699340820312,168.05650329589844,169.0,169.0,141972000,241.3000030517578,242.30999755859375,238.69000244140625,239.50999450683594,229.8193817138672,25916300,349.04998779296875,352.3399963378906,349.0,350.739990234375,326.4707336425781,2955200,379.6499938964844,383.2200012207031,376.32000732421875,381.54998779296875,356.1678771972656,64450700
2021-02-03,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,130.38418579101562,89880900,171.25050354003906,171.6999969482422,165.43099975585938,165.62649536132812,165.62649536132812,141776000,239.57000732421875,245.08999633789062,239.25999450683594,243.0,233.16818237304688,27158100,351.70001220703125,352.79998779296875,349.8800048828125,351.0899963378906,326.7965087890625,3392800,382.44000244140625,383.70001220703125,380.4800109863281,381.8500061035156,356.44793701171875,52427100
2021-02-04,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,133.74261474609375,84183100,166.5,167.35000610351562,163.8874969482422,166.5500030517578,166.5500030517578,73414000,242.66000366210938,243.24000549316406,240.3699951171875,242.00999450683594,232.21820068359375,25296100,352.1199951171875,355.0400085449219,351.9200134277344,355.0199890136719,330.4544982910156,1988300,382.9599914550781,386.239990234375,381.9700012207031,386.19000244140625,360.49920654296875,47142600
2021-02-05,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,133.32827758789062,75693800,165.9499969482422,168.85000610351562,165.135498046875,167.6074981689453,167.6074981689453,72416000,242.22999572753906,243.27999877929688,240.4199981689453,242.1999969482422,232.40052795410156,18054800,356.8999938964844,357.1300048828125,355.32000732421875,356.44000244140625,331.77618408203125,2091800,388.20001220703125,388.4700012207031,386.1400146484375,387.7099914550781,361.91815185546875,48669800
2021-02-08,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,133.4744873046875,71297200,167.9250030517578,168.25,165.1999969482422,166.14700317382812,166.14700317382812,65148000,243.14999389648438,243.67999267578125,240.80999755859375,242.47000122070312,232.65960693359375,22211900,357.9200134277344,359.07000732421875,357.05999755859375,359.07000732421875,334.22430419921875,3371100,389.2699890136719,390.55999755859375,388.3500061035156,390.510009765625,364.5318603515625,38365200
2021-02-09,136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594,132.59710693359375,76774200,165.62449645996094,166.89999389648438,164.89199829101562,165.25,165.25,44070000,241.8699951171875,244.75999450683594,241.3800048828125,243.77000427246094,233.90701293945312,23565000,358.2200012207031,359.3299865722656,357.7699890136719,358.7799987792969,333.954345703125,1891200,389.6099853515625,390.8900146484375,389.1700134277344,390.25,364.2891540527344,35551100
2021-02-10,136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844,131.99264526367188,73046600,165.6999969482422,165.8975067138672,162.6999969482422,164.32899475097656,164.32899475097656,63032000,245.0,245.9199981689453,240.88999938964844,242.82000732421875,232.9954833984375,22186700,360.5299987792969,360.6099853515625,356.29998779296875,358.6400146484375,333.82403564453125,2400000,392.1199951171875,392.2799987792969,387.5,390.0799865722656,364.1304016113281,59154400
2021-02-11,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,131.73915100097656,64280000,164.60000610351562,164.60000610351562,162.4029998779297,163.10650634765625,163.10650634765625,46028000,244.77999877929688,245.14999389648438,242.14999389648438,244.49000549316406,234.59786987304688,15751100,359.7099914550781,360.1000061035156,356.8399963378906,359.2200012207031,334.36395263671875,2237200,391.239990234375,391.69000244140625,388.1000061035156,390.7099914550781,364.7185363769531,42913300
2021-02-12,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,131.97312927246094,60145100,162.5,164.0124969482422,161.66549682617188,163.885498046875,163.885498046875,46706000,243.92999267578125,245.3000030517578,242.72999572753906,244.99000549316406,235.07766723632812,16561100,358.45001220703125,361.19000244140625,358.3599853515625,361.04998779296875,336.0672302246094,2144500,389.8500061035156,392.8999938964844,389.7699890136719,392.6400146484375,366.52020263671875,50593300
